#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assigned To,Updated,Category,Target version,Start date,Due date,Estimated time,% Done,Created,Story points,Velocity based estimate,Position,Remaining (hours),Has patch,Affected Flow version,Description
37496,TYPO3.Fluid,Feature,"",Closed,Should have,placeholder attribute in textarea-viewhelper,Martin Hummer,"",2013-02-04 05:44,ViewHelpers,"",2012-05-25,"","",0,2012-05-25 16:30,"","",637550,"",No,"","hello,

i just discovered that the placeholder attribute in the textarea viewhelper is missing.
the following code adds the placeholder according to the textfield viewhelper:


<pre>
	/**
	 * Renders the textarea.
	 *
     * @param string $placeholder A string used as a placeholder for the value to enter
     *
	 * @return string
	 * @api
	 */
	public function render($placeholder = NULL) {
		$name = $this->getName();
		$this->registerFieldNameForFormTokenGeneration($name);

		$this->tag->forceClosingTag(TRUE);
		$this->tag->addAttribute('name', $name);
		$this->tag->setContent(htmlspecialchars($this->getValue()));

        if ($placeholder !== NULL) {
            $this->tag->addAttribute('placeholder', $placeholder);
        }

		$this->setErrorClassAttribute();

		return $this->tag->render();
	}
}
</pre>"
37506,TYPO3.Fluid,Feature,"",Closed,Won't have this time,Building up Nested Forms with this ViewHelper,Carsten Bleicker,Bastian Waidelich,2012-06-25 09:17,ViewHelpers,"",2012-05-26,"","",0,2012-05-26 09:58,"","",638050,"",No,"","Just want to know what you think about this viewhelper
f.e. you sould be able to pass one object to <f:form object=""{person} name=""person"">
and inside this form you can display subproperties f.e. personName by passing
and use general forms with single property namespace withoud . because of traversing.
it is possible to use it in unlimited depth by:

<f:form action='update' object=""{person}"" objectName=""person"" >
	<vh:nestedForm name=""personName"" object=""{person.name}"">
		<vh:nestedForm name=""subproperty"" object=""{person.name.supproperty}"">
			<vh:nestedForm name=""anothersubproperty"" object=""{person.name.supproperty.anothersubproperty}"">




Example usage:

#################################################
# Form                                          #
#################################################

<f:form action='update' object=""{person}"" objectName=""person"" >
	
	<vh:nestedForm name=""personName"" object=""{person.name}"">
		
		<fieldset>
			<legend><f:translate id=""person.name"" /></legend>
			<f:render partial=""Model/Fieldset/PersonName/Default"" />
		</fieldset>
		
	</vh:nestedForm>
	
</f:form>




#################################################
# Parial: Model/Fieldset/PersonName/Default     #
# If uses in nestedForm it it reusable anywhere #
#################################################

<label class=""control-label"" for=""firstName""><f:translate id=""personName.firstName"" />:</label>

<!--  No need for person.name.firstName because namespace will be set by nestedForm -->
<f:form.textfield id=""firstName"" property=""firstName"" />














"
37543,TYPO3.Fluid,Bug,"",Closed,Must have,Additional __identity field when using TYPO3.Media,Michel Albers,Bastian Waidelich,2013-08-14 09:38,ViewHelpers,1.1.1,2012-05-28,"",0.50,0,2012-05-28 08:30,"","",639900,"",No,FLOW3 1.1.0 beta 1,"When using a <f:form.upload /> field for uploading a TYPO3.Media Image, FLUID adds a hidden __identity field for the Image which results in an ""__identity mapping is not allowed"" exception when saving the record. Removing the hidden __identity field by deleting 

<pre>
$content .= $this->renderAdditionalIdentityFields();
</pre> 

from FormViewHelper.php on line 127 solves the particular problem. Some further if / else conditions are needed."
37558,TYPO3.Fluid,Task,"",Resolved,Should have,Form.Textfield ViewHelper's placeholder attribute should be (re)moved,Adrian Föder,Karsten Dambekalns,2013-01-25 02:37,ViewHelpers,2.1,2012-05-29,"","",100,2012-05-29 03:44,"","",640650,"",No,"","currently, the @placeholder@ attribute in the Textfield ViewHelper is explicitly enabled: 

<pre>code class=""php"">
	public function render($required = NULL, $type = 'text', $placeholder = NULL) {
		// [...]
		if ($placeholder !== NULL) {
			$this->tag->addAttribute('placeholder', $placeholder);
		}
</code></pre>

For consistency, this part should either be completely removed and settable via @additionalArguments@ or, alternatively, set as @registerTagAttribute()@ in @initializeArguments()@. Of course we need to handle _deprecation_ accordingly.

If you neither agree, than this should at least be reproduced in the textarea ViewHelper."
37619,TYPO3.Fluid,Bug,"",New,Should have,Fatal Error when using variable in name attribute of Section ViewHelper,Sebastian Michaelsen,"",2012-05-30 17:17,ViewHelpers,"",2012-05-30,"","",0,2012-05-30 17:17,"","",643700,"",No,Git master,"I'm experiencing this error with TYPO3 4.6, but from looking at the code I'm pretty sure this is reproducible with FLOW3 as well.

<pre>
<f:section name=""mySection_{type}"">
</pre>

This leads to a Fatal Error:
Call to undefined method Tx_Fluid_Core_Parser_SyntaxTree_RootNode::getText() in [...]/typo3/sysext/fluid/Classes/ViewHelpers/SectionViewHelper.php on line 90

I was playing around a bit but I did not find a way to fix this."
37671,TYPO3.Fluid,Bug,"",Resolved,Should have,ViewHelper exceptions should not be caught in testing context,Sebastian Kurfuerst,Sebastian Kurfuerst,2012-06-12 10:37,Core,1.1 RC1,2012-06-01,"","",100,2012-06-01 04:57,"","",646300,"",No,Git master,""
38130,TYPO3.Fluid,Feature,"",New,Should have,Checkboxes and multiple select fields should have an assignable default value,Jost Baron,"",2012-06-17 03:54,"","",2012-06-17,"","",0,2012-06-17 03:54,"","",669100,"",No,"","Currently, when a checkbox is left unchecked, an empty string is submitted for its value. But sometimes I'd like to define that value myself, or don't want to get anything at all.

If this is accepted, I'd volunteer to implement it myself."
38147,TYPO3.Fluid,Feature,"",Closed,Should have,Suggested addition to SelectViewHelper - allowing prepend/append of child content to rendered option tag list ,Claus Due,Claus Due,2012-12-10 07:16,ViewHelpers,2.0 beta 1,2011-05-03,"","",0,2012-06-18 05:42,"","",669950,"",No,"","This is a simple but functional and useful addition to the SelectViewHelper. It adds two new boolean attributes: prependContent and appendContent. Setting one of these to TRUE (with preference for prependContent if both are TRUE) makes the ViewHelper either append of prepend the innerHTML.

It also removes the REQUIRED annotation from the $options tag - explanation of why this is good follows.

<pre>
<f:form.select prependContent=""TRUE"">
    <option value=""-1"">I am the first value</option>
</f:form.select>
// outputs...
<select ...>
    <option value=""-1"">I am the first value</option>
    <option...> // all further options
</select>
</pre>

Of course appendContent=TRUE places the first option below the others, not above.

Set to ""should have"" (but maybe should be ""must have"") because the select ViewHelper sorely lacks customization options (such as prefix to labels, special classes for special options etc) and this method allows 100% control over how options are rendered by simply leaving out the ""options"" argument and manually rendering the content of the select tag. Without this patch the only method of doing this is through Javascript which is complete overkill.

The logic should be solid enough to advocate the change of the options argument. It should make -complete- sense to the developer that, if options are left out, they either need to be supplied as an argument as per the Fluid standard - or defined as the content of the tag as per the HTML standard.

Patch performed on 4.5.2 sysext fluid source."
38369,TYPO3.Fluid,Bug,"",New,Must have,Resource ViewHelpers should not fall back to request package,Bastian Waidelich,"",2012-06-25 09:55,View,"",2012-06-25,"","",0,2012-06-25 09:47,"","",681050,"",No,Git 1.1,"Currently the @f:uri.resource@ ViewHelper uses the package key of the current request to determine the absolute resource path, if no package is specified.

The resource interceptor that replaces links to assets by the resource viewhelper, so:
<pre>
<code class=""xml"">
<link rel=""stylesheet"" href=""../../../Public/Stylesheets/SomeFile.css"" media=""all"" />
</code>
</pre>
is (internally) converted into
<pre>
<code class=""xml"">
<link rel=""stylesheet"" href=""{f:uri.resource(resource: 'Stylesheets/SomeFile.css')}"" media=""all"" />
</code>
</pre>

So the resource ViewHelper uses the *current* package key to resolve the path to: @Current/Package/Resources/Public/Stylesheets/SomeFile.css@.
While this mostly works for FLOW3, in Phoenix the current package is usually *TYPO3.TYPO3* and resources are located in some site package.

Therefore the TypoScript Fluid renderer sets the requests package key from the Fluid template path:
<pre>
<code class=""php"">
if (strpos($templatePath, 'resource://') === 0) {
	$tmp = substr($templatePath, 11);
	$tmp2 = explode('/', $tmp);

	$fluidTemplate->getRequest()->setControllerPackageKey(array_shift(($tmp2)));
}
</code>
</pre>

This has the side effect, that all links in the Fluid template now point to the site package instead of the FrontendNode controller of the TYPO3 package!


I didn't set the category to ViewHelpers because IMO this should be fixed in the view: We probably need something like @resourcesPackage@ or similar that should be used by the resource ViewHelper instead of the requests package key."
38592,TYPO3.Fluid,Bug,"",Resolved,Must have,attributes with dashes lead to wrong exception message,Adrian Föder,Karsten Dambekalns,2012-07-18 04:46,ViewHelpers,1.1 RC2,2012-07-03,"","",100,2012-07-03 11:47,"","",692050,"",No,(any),"consider the following Fluid tag

<pre><code class=""html"">
<f:if condition=""1"" data-bar=""foo"">something</f:if>
</code></pre>

leads to the exception <pre>#1224485838: You closed a templating tag which you never opened!</pre>

Removing the @data-bar@ attribute also makes the exception disappear."
38871,TYPO3.Fluid,Bug,"",Closed,Should have,Generating links within script tags gives invalid documents,Jost Baron,"",2013-02-01 10:11,ViewHelpers,"",2012-07-11,"","",0,2012-07-11 07:40,"","",705650,"",No,(any),"When generating a link in a fluid template, which is enclosed by script-Tags to a given format, the ampersands are not escaped.

So
<script type=""text/javascript"">
    var link = '{f:uri.action(action: 'someAction')}';
</script>
generates a link like this:

index.php?id=123&tx_ext_pi1[controller]=SomeController&tx_ext_pi1[action]=someAction&cHash=foobar

This is invalid XHTML (even inside a script, according to the W3C-Validator), as the ampersands are literals. The same thing works fine outside of script tags."
38873,TYPO3.Fluid,Bug,"",Resolved,Should have,Remove eval from StandaloneViewTest,Christian Müller,Christian Müller,2012-07-12 06:35,"","",2012-07-11,"","",100,2012-07-11 07:55,"","",705750,"",No,Git 1.2 (master),StandaloneViewTest uses eval to create a class that inherits from StandaloneView to override some things. This doesn't work properly with proxy classes and is evil anyway!
39214,TYPO3.Fluid,Feature,"",Closed,Should have,The textfield viewhelper should have an attribute 'step' to allow decimal numbers,Thomas Kirst,Bastian Waidelich,2012-07-25 08:40,ViewHelpers,2.0 beta 1,2012-07-24,"","",0,2012-07-24 07:05,"","",722550,"",Yes,"","When using the textfield viewhelper to render a number field it will only accept integer values and no decimals. It is preferable to use the input field of type number which then tells iOS browsers to pull up the number keypad instead of the normal letters keypad. Then it must be possible to enter decimal values, however the default setting of this field is that it just takes integers. The decimal steps can be configured by the 'step' attribute and if you set it on 'any' every decimal number can be entered by the user.

I created a patch file which adds the needed line to the source.

Could anybody please add this patch? Thanks a lot!

Sample screen:

!number_keypad_sample.png!

[[textfield_stepAny_patch.txt]]"
39255,TYPO3.Fluid,Task,"",Resolved,Should have,reflectionService property in AbstractViewHelper should be protected instead of private,Aske Ertmann,"",2012-08-07 11:35,Core,2.0 beta 1,2012-07-25,"","",100,2012-07-25 09:17,"","",724550,"",Yes,"","The property ""reflectionService"" in the AbstractViewHelper should be protected instead of private to allow usage of the reflection service in view helpers without having to inject again with another property name.

Needed here: https://review.typo3.org/#/c/9695 - see general comments and comments here https://review.typo3.org/#/c/9695/2/Classes/ViewHelpers/Widget/CommentsViewHelper.php"
39410,TYPO3.Fluid,Feature,"",Resolved,Should have,Implement reserved variables returning their intended representation,Adrian Föder,Adrian Föder,2012-08-09 10:35,Core,2.0 beta 1,2012-07-31,"","",100,2012-07-31 04:58,"","",732250,"",Yes,"","currently, in Fluid there are reserved variables anyway, like true, false, on, off etc.
Enable accessing these values with {true}, {false} etc. to retrieve their intended value they're representing."
39428,TYPO3.Fluid,Bug,"",Resolved,Must have,Layout and partial identifiers should be independent of current controller name,Alexander Berl,Alexander Berl,2014-08-27 06:32,Core,1.1.1,2012-07-31,"","",100,2012-07-31 13:12,"","",733150,"",No,FLOW3 1.1.0 rc 2,"Currently, all templates get an identifier made up of package/subpackage, controller, prefix and unique hash.
This leads to all layouts and partials being compiled and cached once for each controller they are used from, even though the contents is independant and hence just a duplicate.

I suggest adding the controller name as part of the prefix in getTemplateIdentifier() only and stripping it from createIdentifierForFile()."
39456,TYPO3.Fluid,Bug,"",Resolved,Must have,Action URI of the form ViewHelper is not reset,Bastian Waidelich,Bastian Waidelich,2012-08-07 11:35,ViewHelpers,1.1,2012-08-01,"","",100,2012-08-01 12:33,"","",734550,"",No,Git 1.1,"The Form ViewHelper stores the action URI attribute for performance reasons.
BUt because instances of ViewHelpers are reused, this value needs to be reset."
39604,TYPO3.Fluid,Bug,"",Resolved,Must have,TemplateParser unquoteString does not trim escaped quotes correctly,Alexander Berl,Alexander Berl,2012-08-10 03:35,Core,"",2012-08-08,"","",100,2012-08-07 19:50,"","",741950,"",No,FLOW3 1.1.0 rc 2,"Assume the following case:
<code>
<f:alias map=""{foo: '\'bar\''}"">
  {foo}
</f:alias>
</code>

*Epected:*
Output 'bar' (including the quotes)

*Actual:*
Output 'bar\

*Cause:*
unquoteString uses trim() to strip starting and ending quotes, however trim is not restricted to trimming only one char on both sides, hence removes both trailing single quotes from the input string, leaving ""\'bar\"" to be unescaped.

*Solution:*
preg_replace should be used instead with a non-repeating pattern, e.g. <code>preg_replace('/(^\'|\'$)/', '', $quotedValue)</code>"
